2026-06-16 10:23:33 | ATTACK DETECTED | Prorocol=ARP | Length=60
2026-06-16 10:23:54 | ATTACK DETECTED | Prorocol=ARP | Length=42
2026-06-16 10:23:54 | ATTACK DETECTED | Prorocol=ARP | Length=60
2026-06-16 10:23:54 | ATTACK DETECTED | Prorocol=DNS | Length=80
2026-06-16 10:23:54 | ATTACK DETECTED | Prorocol=DNS | Length=80
2026-06-16 10:23:55 | ATTACK DETECTED | Prorocol=DNS | Length=136
2026-06-16 10:23:55 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:23:55 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:23:55 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:23:55 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:23:55 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:23:56 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:23:56 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:23:57 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:23:57 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:23:58 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:23:58 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:23:59 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:23:59 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:00 | ATTACK DETECTED | Prorocol=ARP | Length=60
2026-06-16 10:24:00 | ATTACK DETECTED | Prorocol=ARP | Length=42
2026-06-16 10:24:00 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:00 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:01 | ATTACK DETECTED | Prorocol=ARP | Length=60
2026-06-16 10:24:01 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:01 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:02 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:02 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:03 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:03 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:04 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:04 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:05 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:05 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:06 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:06 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:07 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:07 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:08 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:08 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:09 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:09 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:10 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:10 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:11 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:11 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:12 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:12 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:13 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:13 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:14 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:14 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:15 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:15 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:16 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:16 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:16 | ATTACK DETECTED | Prorocol=ARP | Length=60
2026-06-16 10:24:16 | ATTACK DETECTED | Prorocol=ARP | Length=42
2026-06-16 10:24:17 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:17 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:18 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:18 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:19 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:19 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:20 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:20 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:20 | ATTACK DETECTED | Prorocol=ARP | Length=60
2026-06-16 10:24:21 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:21 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:22 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:22 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:23 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:23 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:24 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:24 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:25 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:25 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:26 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:26 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:27 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:27 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:28 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:28 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:29 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:29 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:30 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:30 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:31 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:31 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:32 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:32 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:33 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:33 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:33 | ATTACK DETECTED | Prorocol=ARP | Length=60
2026-06-16 10:24:33 | ATTACK DETECTED | Prorocol=ARP | Length=42
2026-06-16 10:24:34 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:34 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:35 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:35 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:36 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:36 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:37 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:37 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:37 | ATTACK DETECTED | Prorocol=ARP | Length=60
2026-06-16 10:24:38 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:38 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:39 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:39 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:24:40 | ATTACK DETECTED | Prorocol=DNS | Length=132
